INDEX_WORD 	( MESSAGE BIT )	   EQUIPAMENTO	        DESCRIÇÃO FALHAS
Word_18	12	AL_EnchimentoRG	DISPARO PROTEÇÃO VALVULA DESCIDA COMPORTA DIREITA
Word_18	13	AL_EnchimentoRG	DEFEITO MEDIDA DE POSIÇÃO COMPORTA DIREITA
Word_18	14	AL_EnchimentoRG	RESERVA
Word_18	15	AL_EnchimentoRG	RESERVA
Word_19	0	AL_EnchimentoRG	RESERVA
Word_19	1	AL_EnchimentoRG	RESERVA
Word_19	2	AL_EnchimentoRG	RESERVA
Word_19	3	AL_EnchimentoRG	RESERVA
Word_19	4	AL_EnchimentoRG	RESERVA
Word_19	5	AL_EnchimentoRG	RESERVA
Word_19	6	AL_EnchimentoRG	RESERVA
Word_19	7	AL_EnchimentoRG	RESERVA
Word_19	8	AL_EnchimentoRG	DEFEITO RESPOSTA DE MARCHA BOMBA B COMPORTA ESQUERDA
Word_19	9	AL_EnchimentoRG	DEFEITO ARRANCADOR SUAVE BOMBA B COMPORTA ESQUERDA
Word_19	10	AL_EnchimentoRG	DISPARO PROTEÇÃO BOMBA B COMPORTA ESQUERDA
Word_19	11	AL_EnchimentoRG	DISPARO PROTEÇÃO VALVULA DISTRIBUIÇÃO COMPORTA ESQUERDA
Word_19	12	AL_EnchimentoRG	DISPARO PROTEÇÃO VALVULA DESCIDA COMPORTA ESQUERDA
Word_19	13	AL_EnchimentoRG	DEFEITO MEDIDA DE POSIÇÃO COMPORTA ESQUERDA
Word_19	14	AL_EnchimentoRG	RESERVA
Word_19	15	AL_EnchimentoRG	RESERVA
Word_20	0	AL_EnchimentoRG	VELOCIDADE ALTA 2º PATAMAR ABERTURA RAPIDA COMPORTA B_ESQUERDA @1%d@  mts/m
Word_20	1	AL_EnchimentoRG	VELOCIDADE BAIXA 2º PATAMAR ABERTURA RAPIDA COMPORTA B_ESQUERDA  @1%d@ mts/m
Word_20	2	AL_EnchimentoRG	VELOCIDADE ALTA FECHO COMPORTA B_ESQUERDA  @1%d@ mts/m
Word_20	3	AL_EnchimentoRG	VELOCIDADE BAIXA FECHO COMPORTA B_ESQUERDA @1%d@  mts/m
Word_20	4	AL_EnchimentoRG	VELOCIDADE BAIXA FECHO COMPORTA B_ESQUERDA @1%d@  mts/m
Word_20	5	AL_EnchimentoRG	VELOCIDADE BAIXA FECHO COMPORTA B_ESQUERDA @1%d@ mts/m
Word_20	6	AL_EnchimentoRG	VELOCIDADE BAIXA FECHO COMPORTA B_ESQUERDA  @1%d@ mts/m
Word_20	7	AL_EnchimentoRG	VELOCIDADE BAIXA FECHO COMPORTA B_ESQUERDA @1%d@  mts/m
Word_20	8	AL_EnchimentoRG	VELOCIDADE ALTA 1º PATAMAR ABERTURA LENTA COMPORTA A DIREITA  @1%d@  mts/m
Word_20	9	AL_EnchimentoRG	VELOCIDADE BAIXA 1º PATAMAR ABERTURA LENTA COMPORTA A DIREITA @1%d@ mts/m
Word_20	10	AL_EnchimentoRG	VELOCIDADE ALTA 2º PATAMAR ABERTURA RAPIDA COMPORTA A DIREITA @1%d@  mts/m
Word_20	11	AL_EnchimentoRG	VELOCIDADE BAIXA 2º PATAMAR ABERTURA RAPIDA COMPORTA A DIREITA @1%d@ mts/m
Word_20	12	AL_EnchimentoRG	VELOCIDADE ALTA FECHO COMPORTA A DIREITA @1%d@  mts/m
Word_20	13	AL_EnchimentoRG	VELOCIDADE BAIXA FECHO COMPORTA A DIREITA  @1%d@ mts/m
Word_20	14	AL_EnchimentoRG	VELOCIDADE ALTA 1º PATAMAR ABERTURA LENTA COMPORTA B_ESQUERDA @1%d@   mts/m
Word_20	15	AL_EnchimentoRG	VELOCIDADE BAIXA 1º PATAMAR ABERTURA LENTA COMPORTA B_ESQUERDA @1%d@  mts/m
Word_21	0	AL_Esvaziamento	DISPARO PROTEÇÃO 24VDC ENTRADAS ANALÓGICAS
Word_21	1	AL_Esvaziamento	DISPARO PROTEÇÃO DESCARREGADAOR SOBRETENSÕES
Word_21	2	AL_Esvaziamento	DEFEITO DESCARREGADOR SOBRETENSÕES
Word_21	3	AL_Esvaziamento	DISPARO PROTEÇÃO ALIM. ANALISADOR ENERGIA
Word_21	4	AL_Esvaziamento	FALTA ALIMENTAÇÃO 220 VDC
Word_21	5	AL_Esvaziamento	FALHA COMUNICAÇÃO COM SALA DE COMANDO
Word_21	6	AL_Esvaziamento	BY-PASS CONDIÇOES REMOTAS ABERTURA COMPORTAS ATIVADO!!!!!
Word_21	7	AL_Esvaziamento	RESERVA
Word_21	8	AL_Esvaziamento	EMERGÊNCIA ATIVADA
Word_21	9	AL_Esvaziamento	DEFEITO/ALARME FONTE ALIMENTAÇÃO 400VAC/24VDC
Word_21	10	AL_Esvaziamento	DEFEITO/ALARME FONTE ALIMENTAÇÃO 220VDC/24VDC
Word_21	11	AL_Esvaziamento	DISPARO INTERRUPTOR GERAL ALIMENTAÇÃO 3X400VAC
Word_21	12	AL_Esvaziamento	FALTA ALIMENTAÇÃO FORÇA MOTRIZ 3X400VAC
Word_21	13	AL_Esvaziamento	DISPARO PROTEÇÃO 24VDC ENTRADAS DIGITAIS
Word_21	14	AL_Esvaziamento	DISPARO PROTEÇÃO 24VDC SAIDAS DIGITAIS
Word_21	15	AL_Esvaziamento	DISPARO PROTEÇÃO 24VDC QUADRO FORÇA MOTRIZ
Word_22	0	AL_Esvaziamento	RESERVA
Word_22	1	AL_Esvaziamento	RESERVA
Word_22	2	AL_Esvaziamento	RESERVA
Word_22	3	AL_Esvaziamento	RESERVA
Word_22	4	AL_Esvaziamento	DEFEITO AUTOMATO ERRO DIAGNOSTICO
Word_22	5	AL_Esvaziamento	DEFEITO AUTOMATO ERRO PROGRAMA
Word_22	6	AL_Esvaziamento	DEFEITO AUTOMATO ERRO MODULOS
Word_22	7	AL_Esvaziamento	DEFEITO AUTOMATO ERRO BASTIDOR
Word_22	8	AL_Esvaziamento	DEFEITO RESPOSTA DE MARCHA BOMBA A COMPORTA DIREITA
Word_22	9	AL_Esvaziamento	DEFEITO ARRANCADOR SUAVE BOMBA A COMPORTA DIREITA
Word_22	10	AL_Esvaziamento	DISPARO PROTEÇÃO BOMBA A COMPORTA DIREITA
Word_22	11	AL_Esvaziamento	DISPARO PROTEÇÃO VALVULA DISTRIBUIÇÃO COMPORTA DIREITA
Word_22	12	AL_Esvaziamento	DISPARO PROTEÇÃO VALVULA DESCIDA COMPORTA DIREITA
Word_22	13	AL_Esvaziamento	DEFEITO MEDIDA DE POSIÇÃO COMPORTA DIREITA
Word_22	14	AL_Esvaziamento	RESERVA
Word_22	15	AL_Esvaziamento	RESERVA
Word_23	0	AL_Esvaziamento	RESERVA
Word_23	1	AL_Esvaziamento	RESERVA
Word_23	2	AL_Esvaziamento	RESERVA
Word_23	3	AL_Esvaziamento	RESERVA
Word_23	4	AL_Esvaziamento	RESERVA
Word_23	5	AL_Esvaziamento	RESERVA
Word_23	6	AL_Esvaziamento	RESERVA
Word_23	7	AL_Esvaziamento	RESERVA
Word_23	8	AL_Esvaziamento	DEFEITO RESPOSTA DE MARCHA BOMBA B COMPORTA ESQUERDA
Word_23	9	AL_Esvaziamento	DEFEITO ARRANCADOR SUAVE BOMBA B COMPORTA ESQUERDA
Word_23	10	AL_Esvaziamento	DISPARO PROTEÇÃO BOMBA A COMPORTA ESQUERDA
Word_23	11	AL_Esvaziamento	DISPARO PROTEÇÃO VALVULA DISTRIBUIÇÃO COMPORTA ESQUERDA
Word_23	12	AL_Esvaziamento	DISPARO PROTEÇÃO VALVULA DESCIDA COMPORTA ESQUERDA
Word_23	13	AL_Esvaziamento	DEFEITO MEDIDA DE POSIÇÃO COMPORTA ESQUERDA
Word_23	14	AL_Esvaziamento	RESERVA
Word_23	15	AL_Esvaziamento	RESERVA
Word_24	0	AL_Esvaziamento	VELOCIDADE ALTA 2º PATAMAR ABERTURA RAPIDA COMPORTA B_ESQUERDA @1%d@ mts/m
Word_24	1	AL_Esvaziamento	VELOCIDADE BAIXA 2º PATAMAR ABERTURA RAPIDA COMPORTA B_ESQUERDA @1%d@  mts/m
Word_24	2	AL_Esvaziamento	VELOCIDADE ALTA FECHO COMPORTA B_ESQUERDA @1%d@  mts/m
Word_24	3	AL_Esvaziamento	VELOCIDADE BAIXA FECHO COMPORTA B_ESQUERDA @1%d@  mts/m
Word_24	4	AL_Esvaziamento	RESERVA
Word_24	5	AL_Esvaziamento	RESERVA
Word_24	6	AL_Esvaziamento	RESERVA
Word_24	7	AL_Esvaziamento	RESERVA
Word_24	8	AL_Esvaziamento	VELOCIDADE ALTA 1º PATAMAR ABERTURA LENTA COMPORTA A DIREITA @1%d@  mts/m
Word_24	9	AL_Esvaziamento	VELOCIDADE BAIXA 1º PATAMAR ABERTURA LENTA COMPORTA A DIREITA @1%d@ mts/m
Word_24	10	AL_Esvaziamento	VELOCIDADE ALTA 2º PATAMAR ABERTURA RAPIDA COMPORTA A DIREITA @1%d@  mts/m
Word_24	11	AL_Esvaziamento	VELOCIDADE BAIXA 2º PATAMAR ABERTURA RAPIDA COMPORTA A DIREITA @1%d@  mts/m
Word_24	12	AL_Esvaziamento	VELOCIDADE ALTA FECHO COMPORTA A DIREITA @1%d@  mts/m
Word_24	13	AL_Esvaziamento	VELOCIDADE BAIXA FECHO COMPORTA A DIREITA @1%d@  mts/m
Word_24	14	AL_Esvaziamento	VELOCIDADE ALTA 1º PATAMAR ABERTURA LENTA COMPORTA B_ESQUERDA @1%d@  mts/m
Word_24	15	AL_Esvaziamento	VELOCIDADE BAIXA 1º PATAMAR ABERTURA LENTA COMPORTA B_ESQUERDA @1%d@  mts/m
Word_25	0	AL_PortaJusante	DISPARO PROTEÇÃO 24VDC QUADROS FORÇA MOTRIZ
Word_25	1	AL_PortaJusante	DEFEITO DESNIVELAMENTO PORTA - STOP @1%d@ mm
Word_25	2	AL_PortaJusante	ALARME DESNIVELAMENTO PORTA @1%d@ mm
Word_25	3	AL_PortaJusante	PARAGEM MARGEM DIREITA ATIVA
Word_25	4	AL_PortaJusante	PARAGEM QUADRO ATIVA
Word_25	5	AL_PortaJusante	PARAGEM MARGEM ESQUERDA ATIVA
Word_25	6	AL_PortaJusante	FALHA COMUNICAÇÃO COM SALA DE COMANDO
Word_25	7	AL_PortaJusante	DEFEITO PROTEÇÃO SOBRETENSÃO ALIMENTAÇÃO 3X400VAC
Word_25	8	AL_PortaJusante	EMERGÊNCIA ATIVADA
Word_25	9	AL_PortaJusante	DEFEITO/ALARME FONTE ALIMENTAÇÃO 400VAC/24VDC
Word_25	10	AL_PortaJusante	DEFEITO/ALARME FONTE ALIMENTAÇÃO 220VDC/24VDC
Word_25	11	AL_PortaJusante	DISPARO INTERRUPTOR GERAL ALIMENTAÇÃO 3X400VAC
Word_25	12	AL_PortaJusante	FALTA ALIMENTAÇÃO FORÇA MOTRIZ 3X400VAC
Word_25	13	AL_PortaJusante	RESERVA
Word_25	14	AL_PortaJusante	DISPARO PROTEÇÃO 24VDC ENTRADAS DIGITAIS
Word_25	15	AL_PortaJusante	DISPARO PROTEÇÃO 24VDC SAIDAS DIGITAIS
Word_26	0	AL_PortaJusante	DISPARO PROTEÇÃO MOTOR MARGEM DIREITA
Word_26	1	AL_PortaJusante	DISPARO PROTEÇÃO MOTOR MARGEM ESQUERDA
Word_26	2	AL_PortaJusante	DISPARO PROTEÇÃO FREIO MOTOR MARGEM DIREITA
Word_26	3	AL_PortaJusante	DISPARO PROTEÇÃO FREIO MOTOR MARGEM ESQUERDA
Word_26	4	AL_PortaJusante	DISPARO PROTEÇÃO FREIO HIDR. SEGURANÇA MARGEM DIREITA
Word_26	5	AL_PortaJusante	DISPARO PROTEÇÃO FREIO HIDR. SEGURANÇA MARGEM ESQUERDA
Word_26	6	AL_PortaJusante	FALTA IGULDADE DE NIVEIS- ORDEM RECUSADA
Word_26	7	AL_PortaJusante	RESERVA
Word_26	8	AL_PortaJusante	DETEÇÃO ESFORÇO SUBIDA MARGEM DIREITA MONTANTE_PORTA JUSANTE
Word_26	9	AL_PortaJusante	DETEÇÃO ESFORÇO SUBIDA MARGEM DIREITA JUSANTE-PORTA JUSANTE
Word_26	10	AL_PortaJusante	DETEÇÃO ESFORÇO DESCIDA MARGEM DIREITA 
Word_26	11	AL_PortaJusante	DETEÇÃO ESFORÇO SUBIDA MARGEM ESQUERDA MONTANTE-PORTA JUSANTE
Word_26	12	AL_PortaJusante	DETEÇÃO ESFORÇO SUBIDA MARGEM ESQUERDA JUSANTE-PORTA JUSANTE
Word_26	13	AL_PortaJusante	DETEÇÃO ESFORÇO DESCIDA MARGEM ESQUERDA
Word_26	14	AL_PortaJusante	DEFEITO PROTEÇÃO CONTRA SOBRETENSÕES CIRCUITOS DE COMANDO
Word_26	15	AL_PortaJusante	DISPARO PROTEÇÃO DESCARREGADOR SOBRETENSÃO
Word_27	0	AL_PortaJusante	FREIOS DE SEGURANÇA ATIVADOS MANUALMENTE!!
Word_27	1	AL_PortaJusante	LASER PORTA JUSANTE OBSTRUÇÃO DETECTADA
Word_27	2	AL_PortaJusante	LASER PORTA JUSANTE LIMPEZA NECESSÁRIA
Word_27	3	AL_PortaJusante	LASER PORTA JUSANTE DESLIGADO
Word_27	4	AL_PortaJusante	ALARME DIFERENÇA DE POSIÇÃO ENTRE CONTRA PESO DIREITO E POSIÇÃO GUINCHO
Word_27	5	AL_PortaJusante	ALARME DIFERENÇA DE POSIÇÃO ENTRE CONTRA PESO ESQUERDO E POSIÇÃO GUINCHO
Word_27	6	AL_PortaJusante	BY-PASS CONDIÇÕES REMOTAS (IGUALDADE NIVEIS) SUBIDA ABERTURA ATIVADO!!!!
Word_27	7	AL_PortaJusante	BY-PASS CONDIÇÕES REMOTAS DESCIDA FECHO ATIVADO!!!!
Word_27	8	AL_PortaJusante	VARIADOR VELOCIDADE MOTOR DIREITO EM DEFEITO
Word_27	9	AL_PortaJusante	VARIADOR VELOCIDADE MOTOR ESQUERDO EM DEFEITO
Word_27	10	AL_PortaJusante	DISPARO PROTEÇÃO VENTILADOR MOTOR DIREITO
Word_27	11	AL_PortaJusante	DISPARO PROTEÇÃO VENTILADOR MOTOR ESQUERDO
Word_27	12	AL_PortaJusante	DISPARO PROTEÇÃO RESISTÊNCIAS MOTOR DIREITO
Word_27	13	AL_PortaJusante	DISPARO PROTEÇÃO RESISTÊNCIAS MOTOR ESQUERDO
Word_27	14	AL_PortaJusante	VARIADOR MOTOR DIREITO NÃO PRONTO
Word_27	15	AL_PortaJusante	VARIADOR MOTOR ESQUERDO NÃO PRONTO
Word_28	0	AL_PortaJusante	FALHA COMUNICAÇÃO ENCODER MARGEM DIREITA
Word_28	1	AL_PortaJusante	FALHA COMUNICAÇÃO ENCODER MARGEM ESQUERDA
Word_28	2	AL_PortaJusante	MEDIDA FORA LIMITES ENCODER MARGEM DIREITA
Word_28	3	AL_PortaJusante	MEDIDA FORA LIMITES ENCODER MARGEM ESQUERDA
Word_28	4	AL_PortaJusante	RESERVA
Word_28	5	AL_PortaJusante	DEFEITO PRISÃO PORTA
Word_28	6	AL_PortaJusante	FALHA COMUNICAÇÃO VARIADOR MESTRE MOTOR DIREITO - FUNC. AUTOMATICO FORA DE SERVIÇO
Word_28	7	AL_PortaJusante	FALHA COMUNICAÇÃO VARIADOR ESCRAVO MOTOR ESQUERDO - FUNC. AUTOMATICO FORA DE SERVIÇO
Word_28	8	AL_PortaJusante	OBSTRUÇÃO DO LADO DIREITO NO FECHO DA PORTA!! ACIONAR LIMPEZA.<field ref="0" />mm
Word_28	9	AL_PortaJusante	OBSTRUÇÃO DO LADO ESQUERDO NO FECHO DA PORTA!! ACIONAR LIMPEZA.<field ref="0" />mm
Word_28	10	AL_PortaJusante	RESERVA
Word_28	11	AL_PortaJusante	BY-PASS LAYSER PORTA JUSANTE ATIVADO !!!
Word_28	12	AL_PortaJusante	DEFEITO AUTOMATO ERRO DIAGNOSTICO
Word_28	13	AL_PortaJusante	DEFEITO AUTOMATO ERRO PROGRAMA
Word_28	14	AL_PortaJusante	DEFEITO AUTOMATO ERRO MODULOS
Word_28	15	AL_PortaJusante	DEFEITO AUTOMATO ERRO BASTIDOR
Word_29	0	AL_PortaJusante	RESERVA
Word_29	1	AL_PortaJusante	RESERVA
Word_29	2	AL_PortaJusante	RESERVA
Word_29	3	AL_PortaJusante	RESERVA
Word_29	4	AL_PortaJusante	RESERVA
Word_29	5	AL_PortaJusante	RESERVA
Word_29	6	AL_PortaJusante	RESERVA
Word_29	7	AL_PortaJusante	RESERVA
Word_29	8	AL_PortaJusante	PARAGEM SALA DE COMANDO ATIVA
Word_29	9	AL_PortaJusante	PARAGEM QUADRO ATIVA
Word_29	10	AL_PortaJusante	ALARME DIFERENÇA ENTRE IGUALDADE DE NIVEIS UMN E AUTÓMATO
Word_29	11	AL_PortaJusante	IGUALDADE DE NIVEIS DO AUTÓMATO FORA DE SERVIÇO
Word_29	12	AL_PortaJusante	IGUALDADE DE NIVEIS DA UMN FORA DE SERVIÇO
Word_29	13	AL_PortaJusante	NÍVEL MINIMO COTA NAVEGAVEL JUSANTE-PORTA JUSANTE
Word_29	14	AL_PortaJusante	DISPARO PROTEÇÃO ANALIZADOR
Word_29	15	AL_PortaJusante	RESERVA
Word_30	0	AL_PortaMontante	DISPARO PROTEÇÃO 24VDC QUADRO FORÇA MOTRIZ-PORTA MONTANTE
Word_30	1	AL_PortaMontante	DEFEITO DESNIVELAMENTO PORTA - STOP @1%d@  mm
Word_30	2	AL_PortaMontante	ALARME DESNIVELAMENTO PORTA @1%d@  mm
Word_30	3	AL_PortaMontante	PARAGEM MARGEM DIREITA ATIVA-PORTA MONTANTE
Word_30	4	AL_PortaMontante	PARAGEM QUADRO ATIVA-PORTA MONTANTE
Word_30	5	AL_PortaMontante	PARAGEM MARGEM ESQUERDA ATIVA-PORTA MONTANTE
Word_30	6	AL_PortaMontante	FALHA COMUNICAÇÃO COM SALA DE COMANDO
Word_30	7	AL_PortaMontante	DEFEITO PROTEÇÃO SOBRETENSÃO ALIMENTAÇÃO 3X400VAC
Word_30	8	AL_PortaMontante	EMERGÊNCIA ATIVADA-PORTA MONTANTE
Word_30	9	AL_PortaMontante	DEFEITO/ALARME FONTE ALIMENTAÇÃO 400VAC/24VDC-PORTA MONTANTE
Word_30	10	AL_PortaMontante	DEFEITO/ALARME FONTE ALIMENTAÇÃO 220VDC/24VDC-PORTA MONTANTE
Word_30	11	AL_PortaMontante	DISPARO INTERRUPTOR GERAL ALIMENTAÇÃO 3X400VAC-PORTA MONTANTE
Word_30	12	AL_PortaMontante	FALTA ALIMENTAÇÃO FORÇA MOTRIZ 3X400VAC-PORTA MONTANTE
Word_30	13	AL_PortaMontante	RESERVA
Word_30	14	AL_PortaMontante	DISPARO PROTEÇÃO 24VDC ENTRADAS DIGITAIS-PORTA MONTANTE
Word_30	15	AL_PortaMontante	DISPARO PROTEÇÃO 24VDC SAIDAS DIGITAIS-PORTA MONTANTE
Word_31	0	AL_PortaMontante	DISPARO PROTEÇÃO MOTOR MARGEM DIREITA-PORTA MONTANTE
Word_31	1	AL_PortaMontante	DISPARO PROTEÇÃO MOTOR MARGEM ESQUERDA-PORTA MONTANTE
Word_31	2	AL_PortaMontante	DISPARO PROTEÇÃO FREIO MOTOR MARGEM DIREITA-PORTA MONTANTE
Word_31	3	AL_PortaMontante	DISPARO PROTEÇÃO FREIO MOTOR MARGEM ESQUERDA-PORTA MONTANTE
Word_31	4	AL_PortaMontante	DISPARO PROTEÇÃO FREIO HIDR. SEGURANÇA MARGEM DIREITA
Word_31	5	AL_PortaMontante	DISPARO PROTEÇÃO FREIO HIDR. SEGURANÇA MARGEM ESQUERDA
Word_31	6	AL_PortaMontante	FALTA IGULDADE DE NIVEIS- ORDEM RECUSADA-PORTA MONTANTE
Word_31	7	AL_PortaMontante	RESERVA
Word_31	8	AL_PortaMontante	LASER PORTA MONTANTE OBSTRUÇÃO DETECTADA
Word_31	9	AL_PortaMontante	LASER PORTA MONTANTE LIMPEZA NECESSÁRIA
Word_31	10	AL_PortaMontante	LASER PORTA MONTANTE DESLIGADO
Word_31	11	AL_PortaMontante	BY-PASS LAYSER PORTA MONTANTE ATIVADO !!!
Word_31	12	AL_PortaMontante	RESERVA
Word_31	13	AL_PortaMontante	RESERVA
Word_31	14	AL_PortaMontante	DEFEITO PROTEÇÃO CONTRA SOBRETENSÕES CIRCUITOS DE COMANDO
Word_31	15	AL_PortaMontante	DISPARO PROTEÇÃO DESCARREGADOR SOBRETENSÃO
Word_32	0	AL_PortaMontante	ENCARQUILHAMENTO CORRENTE GUINCHO MARGEM DIREITA
Word_32	1	AL_PortaMontante	ENCARQUILHAMENTO CORRENTE GUINCHO MARGEM ESQUERDA
Word_32	2	AL_PortaMontante	FREIOS DE SEGURANÇA ATIVADOS MANUALMENTE!!
Word_32	3	AL_PortaMontante	SEGURANÇA DETEÇÃO ENCARQUILHAMENTO DESATIVADA!!!!!
Word_32	4	AL_PortaMontante	ATENÇÃO!! PORTA DE MONTANTE FORA DE POSIÇÃO!!
Word_32	5	AL_PortaMontante	RESERVA
Word_32	6	AL_PortaMontante	BY-PASS CONDIÇÕES REMOTAS SUBIDA - FECHO - ATIVADO!!!!
Word_32	7	AL_PortaMontante	BY-PASS CONDIÇÕES REMOTAS (IGUALD. NIVEIS) DESCIDA - ABERTURA - ATIVADO!!!!
Word_32	8	AL_PortaMontante	VARIADOR VELOCIDADE MOTOR DIREITO EM DEFEITO
Word_32	9	AL_PortaMontante	VARIADOR VELOCIDADE MOTOR ESQUERDO EM DEFEITO
Word_32	10	AL_PortaMontante	DISPARO PROTEÇÃO VENTILADOR MOTOR DIREITO
Word_32	11	AL_PortaMontante	DISPARO PROTEÇÃO VENTILADOR MOTOR ESQUERDO
Word_32	12	AL_PortaMontante	DISPARO PROTEÇÃO RESISTÊNCIAS MOTOR DIREITO
Word_32	13	AL_PortaMontante	DISPARO PROTEÇÃO RESISTÊNCIAS MOTOR ESQUERDO
Word_32	14	AL_PortaMontante	VARIADOR MOTOR DIREITO NÃO PRONTO
Word_32	15	AL_PortaMontante	VARIADOR MOTOR ESQUERDO NÃO PRONTO
Word_33	0	AL_PortaMontante	FALHA COMUNICAÇÃO ENCODER MARGEM DIREITA
Word_33	1	AL_PortaMontante	FALHA COMUNICAÇÃO ENCODER MARGEM ESQUERDA
Word_33	2	AL_PortaMontante	RESERVA
Word_33	3	AL_PortaMontante	RESERVA
Word_33	4	AL_PortaMontante	RESERVA
Word_33	5	AL_PortaMontante	RESERVA
Word_33	6	AL_PortaMontante	RESERVA
Word_33	7	AL_PortaMontante	RESERVA
Word_33	8	AL_PortaMontante	DEFEITO POSIÇÃO GUINCHO DIREITO EM RELAÇÃO À PORTA MONTANTE
Word_33	9	AL_PortaMontante	DEFEITO POSIÇÃO GUINCHO ESQUERDO EM RELAÇÃO À PORTA MONTANTE
Word_33	10	AL_PortaMontante	BY-PASS SEGURANÇA POSIÇÃO GUINCHO DIREITO
Word_33	11	AL_PortaMontante	BY-PASS SEGURANÇA POSIÇÃO GUINCHO ESQUERDO
Word_33	12	AL_PortaMontante	DEFEITO AUTOMATO ERRO DIAGNOSTICO
Word_33	13	AL_PortaMontante	DEFEITO AUTOMATO ERRO PROGRAMA
Word_33	14	AL_PortaMontante	DEFEITO AUTOMATO ERRO MODULOS
Word_33	15	AL_PortaMontante	DEFEITO AUTOMATO ERRO BASTIDOR
Word_34	0	AL_PortaMontante	RESERVA
Word_34	1	AL_PortaMontante	RESERVA
Word_34	2	AL_PortaMontante	MEDIDA FORA LIMITES ENCODER MARGEM DIREITA
Word_34	3	AL_PortaMontante	MEDIDA FORA LIMITES ENCODER MARGEM ESQUERDA
Word_34	4	AL_PortaMontante	RESERVA
Word_34	5	AL_PortaMontante	DEFEITO PRISÃO PORTA
Word_34	6	AL_PortaMontante	FALHA COMUNICAÇÃO VARIADOR ESCRAVO MOTOR DIREITO - FUNC. AUTOMATICO FORA DE SERVIÇO
Word_34	7	AL_PortaMontante	FALHA COMUNICAÇÃO VARIADOR MESTRE MOTOR ESQUERDO - FUNC. AUTOMATICO FORA DE SERVIÇO
Word_34	8	AL_PortaMontante	RESERVA
Word_34	9	AL_PortaMontante	RESERVA
Word_34	10	AL_PortaMontante	RESERVA
Word_34	11	AL_PortaMontante	RESERVA
Word_34	12	AL_PortaMontante	RESERVA
Word_34	13	AL_PortaMontante	RESERVA
Word_34	14	AL_PortaMontante	RESERVA
Word_34	15	AL_PortaMontante	RESERVA
Word_35	0	AL_PortaMontante	RESERVA
Word_35	1	AL_PortaMontante	RESERVA
Word_35	2	AL_PortaMontante	RESERVA
Word_35	3	AL_PortaMontante	RESERVA
Word_35	4	AL_PortaMontante	RESERVA
Word_35	5	AL_PortaMontante	RESERVA
Word_35	6	AL_PortaMontante	RESERVA
Word_35	7	AL_PortaMontante	RESERVA
Word_35	8	AL_PortaMontante	PARAGEM SALA DE COMANDO ATIVA
Word_35	9	AL_PortaMontante	PARAGEM QUADRO ATIVA
